ticker,price
BAI,12100.66581
SA,6050.332906
SAL,6050.332906
WM,12100.66581
NS,320.9041941
BAC,1849.956612
CST,4189.996051
SIL,5382.329279
CL,3452.210386
MTC,1348.415477
MG,89.78273068
S,223.5246435
HER,3129.795838
LCR,3616.740399
GL,407.0366374
CA,1477.940852
N,50.07135578
AMM,82.03454933
AR,192.4764513
HE3,248.4665871
BTS,255.5312443
FLX,236.6115826
HE,169.7902196
H,82.75796019
F,480.6800699
NE,275.6501469
HEX,92.83669884
O,61.82336212
LES,645.2664405
BEA,506.8999042
MGS,116.6293507
BOR,311.9438867
HAL,264.9599799
LIO,146.7353328
SCR,247.2937536
TS,246.6726213
GAL,180.2590278
GRN,457.4670623
BER,285.2573622
CLI,142.9810193
AUO,317.1944013
CUO,191.4290027
ZIR,345.4206987
TIO,232.47954
H2O,38.94081063
SIO,108.026976
LST,105.5975452
TAI,341.6845738
TCO,438.4955113
BRM,133.5772678
ALO,151.7683704
MAG,315.8532364
FEO,105.9146944
NUT,555.3357818
SI,625.0013895
NA,25
